version,dataset,source,n_samples,n_features,anomaly_rate_pct,threshold,threshold_mode,threshold_arg,branch,trees,runs,seed_base,completed_runs,mean_auc_roc,std_auc_roc,mean_auc_pr,std_auc_pr,mean_fit_seconds,mean_predict_seconds,paper_shape_match,paper_n_samples,paper_n_features,paper_anomaly_rate_pct,note
v1,annthyroid,adbench,7200,6,7.42,55,paper,,0,100,15,42,15,0.568423125084044,0.019866207150083165,0.11826738237725085,0.012671985457974148,8.92792937423413,109.98044995111414,True,7200,6,7.42,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,fraud,adbench,284807,29,0.17,403,paper,,0,100,15,42,15,0.9475213286610469,0.003914058694515819,0.4174094723568866,0.05676614785697509,142.4425079175892,3775.7114732964274,True,284807,29,0.17,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
